Unidade da Federação	Nível de instrução	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Nível de instrução	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Rondônia	Sem instrução	48	50	42	44	40	42	32	38	42	46	50	47	45	50
Rondônia	Ensino fundamental incompleto ou equivalente	257	212	268	224	258	223	259	219	234	201	238	213	227	193
Rondônia	Ensino fundamental completo ou equivalente	79	68	70	58	64	67	62	53	65	58	70	51	71	58
Rondônia	Ensino médio incompleto ou equivalente	55	57	70	52	69	56	64	73	72	64	83	71	74	56
Rondônia	Ensino médio completo ou equivalente	139	159	142	171	160	175	171	179	196	209	195	210	214	229
Rondônia	Ensino superior incompleto ou equivalente	22	35	25	36	28	42	40	47	28	38	28	39	27	40
Rondônia	Superior completo	42	69	49	75	52	81	55	89	69	125	69	119	80	131
Acre	Sem instrução	33	26	31	26	30	26	31	26	28	27	38	32	29	28
Acre	Ensino fundamental incompleto ou equivalente	100	87	101	89	102	93	99	92	99	85	93	83	94	84
Acre	Ensino fundamental completo ou equivalente	32	31	34	31	31	29	30	32	28	28	31	32	33	29
Acre	Ensino médio incompleto ou equivalente	29	30	30	27	27	26	30	25	32	31	31	31	37	33
Acre	Ensino médio completo ou equivalente	62	73	66	80	72	76	79	84	87	97	92	104	98	101
Acre	Ensino superior incompleto ou equivalente	14	18	16	17	17	20	15	17	17	21	16	19	15	20
Acre	Superior completo	22	36	25	39	28	43	32	51	44	63	37	56	40	60
Amazonas	Sem instrução	101	92	77	72	85	75	67	53	73	74	69	78	74	76
Amazonas	Ensino fundamental incompleto ou equivalente	439	360	442	377	446	387	445	379	406	345	396	345	376	322
Amazonas	Ensino fundamental completo ou equivalente	137	143	118	121	122	117	120	123	116	120	114	122	120	118
Amazonas	Ensino médio incompleto ou equivalente	125	124	133	129	134	138	143	137	153	134	145	143	144	137
Amazonas	Ensino médio completo ou equivalente	403	416	424	455	453	469	452	484	549	562	569	580	626	642
Amazonas	Ensino superior incompleto ou equivalente	65	79	74	83	91	75	95	95	78	96	78	94	70	99
Amazonas	Superior completo	106	149	123	160	135	187	150	197	167	230	183	235	202	248
Roraima	Sem instrução	13	11	10	10	11	9	12	8	10	9	11	9	11	7
Roraima	Ensino fundamental incompleto ou equivalente	48	36	50	37	52	40	48	36	44	39	48	35	53	36
Roraima	Ensino fundamental completo ou equivalente	16	15	16	14	16	14	15	13	19	20	18	16	17	16
Roraima	Ensino médio incompleto ou equivalente	17	16	18	19	20	18	22	18	22	19	26	20	25	24
Roraima	Ensino médio completo ou equivalente	52	52	55	58	59	58	62	66	80	84	79	82	79	81
Roraima	Ensino superior incompleto ou equivalente	9	11	12	15	13	16	14	15	13	16	11	16	17	21
Roraima	Superior completo	18	29	18	29	22	35	26	36	28	36	28	41	26	45
Pará	Sem instrução	214	178	192	179	184	169	164	151	203	175	188	156	193	145
Pará	Ensino fundamental incompleto ou equivalente	1282	1089	1281	1066	1296	1050	1283	1054	1242	992	1190	1012	1125	925
Pará	Ensino fundamental completo ou equivalente	292	303	306	308	320	290	298	304	307	293	309	305	314	314
Pará	Ensino médio incompleto ou equivalente	311	318	313	337	316	327	326	309	357	339	339	338	372	317
Pará	Ensino médio completo ou equivalente	689	857	712	902	757	893	784	974	892	994	932	1084	965	1114
Pará	Ensino superior incompleto ou equivalente	88	114	100	129	120	150	116	149	134	167	139	178	175	203
Pará	Superior completo	164	255	159	283	201	324	218	331	262	424	287	453	295	500
Amapá	Sem instrução	13	15	11	13	15	18	17	18	19	19	22	23	21	21
Amapá	Ensino fundamental incompleto ou equivalente	80	65	90	69	89	69	82	68	81	69	72	66	86	63
Amapá	Ensino fundamental completo ou equivalente	25	27	32	24	26	25	29	24	30	25	25	22	29	24
Amapá	Ensino médio incompleto ou equivalente	31	27	31	28	28	28	32	33	28	29	34	29	28	27
Amapá	Ensino médio completo ou equivalente	80	91	79	92	87	92	87	108	104	107	116	113	109	121
Amapá	Ensino superior incompleto ou equivalente	13	20	18	25	18	27	24	24	23	27	20	25	15	30
Amapá	Superior completo	30	41	28	48	32	47	35	49	45	65	50	76	54	72
Tocantins	Sem instrução	63	50	63	51	61	50	49	44	51	39	49	47	42	33
Tocantins	Ensino fundamental incompleto ou equivalente	191	153	205	147	195	155	215	155	183	140	183	140	191	147
Tocantins	Ensino fundamental completo ou equivalente	59	46	46	42	58	37	53	40	45	46	48	47	55	43
Tocantins	Ensino médio incompleto ou equivalente	51	54	52	51	51	50	57	54	62	54	61	51	66	52
Tocantins	Ensino médio completo ou equivalente	146	164	154	164	162	172	159	175	193	186	182	192	187	195
Tocantins	Ensino superior incompleto ou equivalente	21	34	26	33	29	30	21	31	38	39	31	37	35	47
